,frame,type,index,x,y
0,0,left_head,1,0.5021162,0.19689327
1,0,left_head,2,0.51545745,0.20062158
2,0,left_head,3,0.5284414,0.20496717
3,0,left_head,7,0.5547198,0.22634315
4,0,left_head,9,0.48153678,0.24564499
5,0,right_head,0,0.46828294,0.2142587
6,0,right_head,4,0.4760247,0.19043085
7,0,right_head,5,0.47134003,0.18892905
8,0,right_head,6,0.46794102,0.18769377
9,0,right_head,8,0.47941104,0.2021384
10,0,right_head,10,0.45561022,0.23681676
11,0,left_arm,11,0.6234581,0.35969052
12,0,left_arm,13,0.8118341,0.51772004
13,0,left_arm,15,0.63228154,0.6157207
14,0,left_arm,17,0.5894726,0.62340885
15,0,left_arm,19,0.57817584,0.6005638
16,0,left_arm,21,0.5890987,0.59542763
17,0,left_arm,23,0.5636707,0.6947467
18,0,right_arm,12,0.3935031,0.33657113
19,0,right_arm,14,0.14820984,0.36871824
20,0,right_arm,16,0.3043803,0.25762054
21,0,right_arm,18,0.35159332,0.2433868
22,0,right_arm,20,0.3696074,0.25216025
23,0,right_arm,22,0.36342943,0.26289856
24,0,right_arm,24,0.43218783,0.6953283
25,0,Left_hand,0,0.3013285,0.25489074
26,0,Left_hand,1,0.34041783,0.27541432
27,0,Left_hand,2,0.36845732,0.2808154
28,0,Left_hand,3,0.38742647,0.28676677
29,0,Left_hand,4,0.40608224,0.2930315
30,0,Left_hand,5,0.38108638,0.25218204
31,0,Left_hand,6,0.40909693,0.24735199
32,0,Left_hand,7,0.42581254,0.24851875
33,0,Left_hand,8,0.4413809,0.25089222
34,0,Left_hand,9,0.37602225,0.24745806
35,0,Left_hand,10,0.4120459,0.253305
36,0,Left_hand,11,0.43264905,0.26308122
37,0,Left_hand,12,0.44807172,0.27191558
38,0,Left_hand,13,0.36573738,0.24576111
39,0,Left_hand,14,0.3955169,0.2556556
40,0,Left_hand,15,0.4110005,0.26805228
41,0,Left_hand,16,0.42265925,0.27882183
42,0,Left_hand,17,0.35240817,0.2470046
43,0,Left_hand,18,0.37585607,0.25404328
44,0,Left_hand,19,0.38778976,0.2644807
45,0,Left_hand,20,0.39631206,0.27414817
46,0,Right_hand,0,0.63984746,0.6219102
47,0,Right_hand,1,0.6207939,0.60610193
48,0,Right_hand,2,0.60216403,0.59445226
49,0,Right_hand,3,0.58424616,0.5883511
50,0,Right_hand,4,0.5715752,0.5864275
51,0,Right_hand,5,0.58511055,0.5841464
52,0,Right_hand,6,0.5541641,0.5687495
53,0,Right_hand,7,0.53289175,0.5645374
54,0,Right_hand,8,0.5144464,0.56109977
55,0,Right_hand,9,0.5888006,0.58866537
56,0,Right_hand,10,0.5399368,0.5980069
57,0,Right_hand,11,0.5215475,0.60903406
58,0,Right_hand,12,0.5116567,0.61803794
59,0,Right_hand,13,0.59203434,0.59880745
60,0,Right_hand,14,0.54921913,0.61974424
61,0,Right_hand,15,0.543406,0.63347304
62,0,Right_hand,16,0.54345584,0.64177
63,0,Right_hand,17,0.5946286,0.6116886
64,0,Right_hand,18,0.56383824,0.63005143
65,0,Right_hand,19,0.5550305,0.64075583
66,0,Right_hand,20,0.55067676,0.6469272
